排名,名称,评分,评价人数,影评,链接
46,海蒂和爷爷,9.3,622403人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
47,钢琴家,9.3,646418人评价,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
48,大话西游之月光宝盒,9.0,1230000人评价,旷古烁今。,https://movie.douban.com/subject/1299398/
49,指环王2：双塔奇兵,9.2,759590人评价,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
50,闻香识女人,9.1,892653人评价,史上最美的探戈。,https://movie.douban.com/subject/1298624/
51,罗马假日,9.1,956723人评价,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
52,死亡诗社,9.2,733675人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
53,绿皮书,8.9,1663299人评价,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
54,天堂电影院,9.2,682898人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
55,大闹天宫,9.4,442341人评价,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
56,黑客帝国,9.1,843991人评价,视觉革命。,https://movie.douban.com/subject/1291843/
57,指环王1：护戒使者,9.1,854022人评价,传说的开始。,https://movie.douban.com/subject/1291571/
58,教父2,9.3,557606人评价,优雅的孤独。,https://movie.douban.com/subject/1299131/
59,狮子王,9.1,849877人评价,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
60,辩护人,9.2,592352人评价,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
61,饮食男女,9.2,625924人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
62,搏击俱乐部,9.0,852112人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
63,美丽心灵,9.1,774228人评价,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
64,本杰明·巴顿奇事,9.0,989733人评价,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
65,穿条纹睡衣的男孩,9.2,569961人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
66,窃听风暴,9.2,568588人评价,别样人生。,https://movie.douban.com/subject/1900841/
67,情书,8.9,1123200人评价,暗恋的极致。,https://movie.douban.com/subject/1292220/
68,两杆大烟枪,9.1,598863人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
69,西西里的美丽传说,8.9,982311人评价,美丽无罪。,https://movie.douban.com/subject/1292402/
70,看不见的客人,8.8,1279690人评价,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
71,音乐之声,9.1,607406人评价,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
72,阿凡达,8.8,1431367人评价,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
73,拯救大兵瑞恩,9.1,651755人评价,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
74,哈利·波特与死亡圣器(下),9.0,839443人评价,10年的完美句点。,https://movie.douban.com/subject/3011235/
75,飞越疯人院,9.1,550619人评价,自由万岁。,https://movie.douban.com/subject/1292224/
76,小鞋子,9.2,414216人评价,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
77,沉默的羔羊,8.9,896695人评价,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
78,布达佩斯大饭店,8.9,943654人评价,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
79,禁闭岛,8.9,985498人评价,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
80,功夫,8.8,1144634人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
81,蝴蝶效应,8.9,945406人评价,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
82,致命魔术,8.9,866925人评价,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
83,哈利·波特与阿兹卡班的囚徒,8.9,738704人评价,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
84,心灵捕手,8.9,719374人评价,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
85,海豚湾,9.3,358918人评价,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
86,超脱,9.0,607463人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
87,低俗小说,8.9,839716人评价,故事的高级讲法。,https://movie.douban.com/subject/1291832/
88,春光乍泄,9.0,637015人评价,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
89,摩登时代,9.3,303907人评价,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
90,美国往事,9.2,414487人评价,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
91,喜剧之王,8.8,977699人评价,我是一个演员。,https://movie.douban.com/subject/1302425/
92,致命ID,8.9,831943人评价,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
93,杀人回忆,8.9,720664人评价,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
94,七宗罪,8.8,948436人评价,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
95,红辣椒,9.1,469037人评价,梦的勾结。,https://movie.douban.com/subject/1865703/
